Parameter Sets,Stats,Variance Ratio,SVM Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,Random Classifier Accuracy
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2389.469415003144), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.2936194029850747), 'Stressed Variance': np.float64(148.75763092977277), 'Stressed Steady State Time': 10.0}",0.13999999999999999,0.675,0.6625,0.525,0.425
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.121380597014926), 'Normal Variance': np.float64(1232.2000055566384), 'Normal Steady State Time': 10.0}",0.13999999999999999,0.675,0.6625,0.525,0.425
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2389.469415003144), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.1218283582089552), 'Stressed Variance': np.float64(118.01101606009132), 'Stressed Steady State Time': 10.0}",0.13999999999999999,0.8,0.6625,0.5875,0.625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.8726492537313435), 'Normal Variance': np.float64(1170.9920280560816), 'Normal Steady State Time': 10.0}",0.13999999999999999,0.8,0.6625,0.5875,0.625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2389.469415003144), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.3960820895522388), 'Stressed Variance': np.float64(176.0849473365449), 'Stressed Steady State Time': 10.0}",0.13999999999999999,0.7625,0.7125,0.5375,0.5375
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.900746268656716), 'Normal Variance': np.float64(1000.762088995322), 'Normal Steady State Time': 10.0}",0.13999999999999999,0.7625,0.7125,0.5375,0.5375
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2389.469415003144), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.23955223880597), 'Stressed Variance': np.float64(175.31268935174876), 'Stressed Steady State Time': 10.0}",0.13999999999999999,0.7875,0.6625,0.625,0.425
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.016380597014925), 'Normal Variance': np.float64(1074.8770077954443), 'Normal Steady State Time': 10.0}",0.13999999999999999,0.7875,0.6625,0.625,0.425
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2473.668316814405), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.403134328358209), 'Stressed Variance': np.float64(174.59867674314995), 'Stressed Steady State Time': 10.0}",0.14999999999999997,0.625,0.6,0.475,0.4
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.106455223880597), 'Normal Variance': np.float64(1231.9389284793383), 'Normal Steady State Time': 10.0}",0.14999999999999997,0.625,0.6,0.475,0.4
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2473.668316814405), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.4047388059701493), 'Stressed Variance': np.float64(186.00114918550904), 'Stressed Steady State Time': 10.0}",0.14999999999999997,0.725,0.7,0.5375,0.5625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.8951119402985075), 'Normal Variance': np.float64(1154.152617897917), 'Normal Steady State Time': 10.0}",0.14999999999999997,0.725,0.7,0.5375,0.5625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2473.668316814405), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.4185820895522387), 'Stressed Variance': np.float64(165.20568455669417), 'Stressed Steady State Time': 10.0}",0.14999999999999997,0.7,0.6875,0.625,0.425
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.718171641791045), 'Normal Variance': np.float64(968.6687444183004), 'Normal Steady State Time': 10.0}",0.14999999999999997,0.7,0.6875,0.625,0.425
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2473.668316814405), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.2175746268656717), 'Stressed Variance': np.float64(153.09620605786367), 'Stressed Steady State Time': 10.0}",0.14999999999999997,0.675,0.7125,0.6375,0.4875
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.009328358208955), 'Normal Variance': np.float64(1074.6875249220318), 'Normal Steady State Time': 10.0}",0.14999999999999997,0.675,0.7125,0.6375,0.4875
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2473.668316814405), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.4159328358208956), 'Stressed Variance': np.float64(178.70076853280239), 'Stressed Steady State Time': 10.0}",0.14999999999999997,0.7625,0.7375,0.625,0.45
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.008694029850746), 'Normal Variance': np.float64(1209.1103348616061), 'Normal Steady State Time': 10.0}",0.14999999999999997,0.7625,0.7375,0.625,0.45
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2473.668316814405), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.3955970149253731), 'Stressed Variance': np.float64(182.6930552405881), 'Stressed Steady State Time': 10.0}",0.14999999999999997,0.8125,0.7625,0.65,0.525
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.792873134328358), 'Normal Variance': np.float64(1123.296911894353), 'Normal Steady State Time': 10.0}",0.14999999999999997,0.8125,0.7625,0.65,0.525
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2473.668316814405), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.4348134328358209), 'Stressed Variance': np.float64(176.28739250250612), 'Stressed Steady State Time': 10.0}",0.14999999999999997,0.75,0.7375,0.6375,0.4875
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.013470149253731), 'Normal Variance': np.float64(1076.476124525228), 'Normal Steady State Time': 10.0}",0.14999999999999997,0.75,0.7375,0.6375,0.4875
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2473.668316814405), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.1544402985074627), 'Stressed Variance': np.float64(134.47334968673425), 'Stressed Steady State Time': 10.0}",0.14999999999999997,0.7125,0.7375,0.6,0.6
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.071268656716418), 'Normal Variance': np.float64(1095.74992077857), 'Normal Steady State Time': 10.0}",0.14999999999999997,0.7125,0.7375,0.6,0.6
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2473.668316814405), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.43), 'Stressed Variance': np.float64(174.54390597014924), 'Stressed Steady State Time': 10.0}",0.14999999999999997,0.675,0.5875,0.6,0.5125
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.115597014925373), 'Normal Variance': np.float64(1232.8854433002896), 'Normal Steady State Time': 10.0}",0.14999999999999997,0.675,0.5875,0.6,0.5125
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2473.668316814405), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.4057089552238806), 'Stressed Variance': np.float64(187.94864651230782), 'Stressed Steady State Time': 10.0}",0.14999999999999997,0.7125,0.675,0.55,0.475
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.857761194029851), 'Normal Variance': np.float64(1147.3411860325239), 'Normal Steady State Time': 10.0}",0.14999999999999997,0.7125,0.675,0.55,0.475
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2555.1043714281645), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.243768656716418), 'Stressed Variance': np.float64(147.10755445394295), 'Stressed Steady State Time': 10.0}",0.15999999999999998,0.7375,0.7,0.5375,0.625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.974925373134329), 'Normal Variance': np.float64(1068.3616846959233), 'Normal Steady State Time': 10.0}",0.15999999999999998,0.7375,0.7,0.5375,0.625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2555.1043714281645), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.17705223880597), 'Stressed Variance': np.float64(150.144734594286), 'Stressed Steady State Time': 10.0}",0.15999999999999998,0.7875,0.6,0.4875,0.6375
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.990485074626866), 'Normal Variance': np.float64(1067.1634542423146), 'Normal Steady State Time': 10.0}",0.15999999999999998,0.7875,0.6,0.4875,0.6375
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2555.1043714281645), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.4607835820895523), 'Stressed Variance': np.float64(184.63779043077525), 'Stressed Steady State Time': 10.0}",0.15999999999999998,0.675,0.6375,0.5625,0.4375
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.1183955223880595), 'Normal Variance': np.float64(1231.8571392166962), 'Normal Steady State Time': 10.0}",0.15999999999999998,0.675,0.6375,0.5625,0.4375
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2555.1043714281645), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.344813432835821), 'Stressed Variance': np.float64(189.60979772638672), 'Stressed Steady State Time': 10.0}",0.15999999999999998,0.8,0.65,0.6125,0.5625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.868507462686567), 'Normal Variance': np.float64(1165.6434559812874), 'Normal Steady State Time': 10.0}",0.15999999999999998,0.8,0.65,0.6125,0.5625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2555.1043714281645), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.2535074626865672), 'Stressed Variance': np.float64(147.81080859322788), 'Stressed Steady State Time': 10.0}",0.15999999999999998,0.7125,0.7375,0.675,0.475
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.963507462686567), 'Normal Variance': np.float64(1070.935981727556), 'Normal Steady State Time': 10.0}",0.15999999999999998,0.7125,0.7375,0.675,0.475
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2555.1043714281645), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.2790671641791045), 'Stressed Variance': np.float64(168.96917375668303), 'Stressed Steady State Time': 10.0}",0.15999999999999998,0.7,0.625,0.5875,0.6625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.05955223880597), 'Normal Variance': np.float64(1096.5070505457786), 'Normal Steady State Time': 10.0}",0.15999999999999998,0.7,0.625,0.5875,0.6625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2555.1043714281645), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.405410447761194), 'Stressed Variance': np.float64(179.9128438613834), 'Stressed Steady State Time': 10.0}",0.15999999999999998,0.7,0.65,0.4625,0.4625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.135559701492538), 'Normal Variance': np.float64(1252.360839985242), 'Normal Steady State Time': 10.0}",0.15999999999999998,0.7,0.65,0.4625,0.4625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2555.1043714281645), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.272276119402985), 'Stressed Variance': np.float64(176.73672392375806), 'Stressed Steady State Time': 10.0}",0.15999999999999998,0.7875,0.725,0.6375,0.5
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.961902985074627), 'Normal Variance': np.float64(1179.9956008562597), 'Normal Steady State Time': 10.0}",0.15999999999999998,0.7875,0.725,0.6375,0.5
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2555.1043714281645), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.2407835820895523), 'Stressed Variance': np.float64(145.19332923674537), 'Stressed Steady State Time': 10.0}",0.15999999999999998,0.8625,0.7625,0.575,0.4125
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.76660447761194), 'Normal Variance': np.float64(972.3203399629649), 'Normal Steady State Time': 10.0}",0.15999999999999998,0.8625,0.7625,0.575,0.4125
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2555.1043714281645), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.2351119402985076), 'Stressed Variance': np.float64(161.76490894269324), 'Stressed Steady State Time': 10.0}",0.15999999999999998,0.7375,0.65,0.5875,0.45
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.021529850746268), 'Normal Variance': np.float64(1083.2347230326914), 'Normal Steady State Time': 10.0}",0.15999999999999998,0.7375,0.65,0.5875,0.45
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2634.032925049927), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.598582089552239), 'Stressed Variance': np.float64(238.8059532134106), 'Stressed Steady State Time': 10.0}",0.16999999999999998,0.725,0.7,0.5625,0.5125
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.9667537313432835), 'Normal Variance': np.float64(1198.907215581143), 'Normal Steady State Time': 10.0}",0.16999999999999998,0.725,0.7,0.5625,0.5125
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2634.032925049927), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.384402985074627), 'Stressed Variance': np.float64(180.51663733014036), 'Stressed Steady State Time': 10.0}",0.16999999999999998,0.675,0.6,0.5125,0.55
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.900783582089552), 'Normal Variance': np.float64(1182.7468352068945), 'Normal Steady State Time': 10.0}",0.16999999999999998,0.675,0.6,0.5125,0.55
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2634.032925049927), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.466231343283582), 'Stressed Variance': np.float64(165.4846059464803), 'Stressed Steady State Time': 10.0}",0.16999999999999998,0.675,0.5875,0.5875,0.45
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.738171641791045), 'Normal Variance': np.float64(971.7033488959123), 'Normal Steady State Time': 10.0}",0.16999999999999998,0.675,0.5875,0.5875,0.45
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2634.032925049927), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.3861194029850745), 'Stressed Variance': np.float64(192.41300135887724), 'Stressed Steady State Time': 10.0}",0.16999999999999998,0.675,0.625,0.525,0.55
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.0292164179104475), 'Normal Variance': np.float64(1088.2624672964469), 'Normal Steady State Time': 10.0}",0.16999999999999998,0.675,0.625,0.525,0.55
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2634.032925049927), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.5913805970149253), 'Stressed Variance': np.float64(243.12008242231008), 'Stressed Steady State Time': 10.0}",0.16999999999999998,0.725,0.65,0.6,0.525
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.166753731343284), 'Normal Variance': np.float64(1261.835364834874), 'Normal Steady State Time': 10.0}",0.16999999999999998,0.725,0.65,0.6,0.525
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2634.032925049927), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.4071268656716418), 'Stressed Variance': np.float64(186.66868801375588), 'Stressed Steady State Time': 10.0}",0.16999999999999998,0.575,0.525,0.55,0.5625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.71134328358209), 'Normal Variance': np.float64(1126.0883190911115), 'Normal Steady State Time': 10.0}",0.16999999999999998,0.575,0.525,0.55,0.5625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2634.032925049927), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.3888432835820896), 'Stressed Variance': np.float64(154.46824119932057), 'Stressed Steady State Time': 10.0}",0.16999999999999998,0.7375,0.6375,0.5875,0.475
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.157574626865672), 'Normal Variance': np.float64(1121.9017000877147), 'Normal Steady State Time': 10.0}",0.16999999999999998,0.7375,0.6375,0.5875,0.475
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2634.032925049927), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.4355597014925374), 'Stressed Variance': np.float64(206.5510713285253), 'Stressed Steady State Time': 10.0}",0.16999999999999998,0.6875,0.625,0.575,0.5
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.029888059701492), 'Normal Variance': np.float64(1084.9213081964242), 'Normal Steady State Time': 10.0}",0.16999999999999998,0.6875,0.625,0.575,0.5
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2634.032925049927), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.5617537313432837), 'Stressed Variance': np.float64(234.34887304382931), 'Stressed Steady State Time': 10.0}",0.16999999999999998,0.6375,0.725,0.55,0.4625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.033358208955224), 'Normal Variance': np.float64(1209.836946931388), 'Normal Steady State Time': 10.0}",0.16999999999999998,0.6375,0.725,0.55,0.4625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2634.032925049927), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.4430970149253732), 'Stressed Variance': np.float64(189.95735906521497), 'Stressed Steady State Time': 10.0}",0.16999999999999998,0.6875,0.5625,0.4625,0.4875
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.86865671641791), 'Normal Variance': np.float64(1157.837898195589), 'Normal Steady State Time': 10.0}",0.16999999999999998,0.6875,0.5625,0.4625,0.4875
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2710.672258656886), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.733134328358209), 'Stressed Variance': np.float64(234.73758868344845), 'Stressed Steady State Time': 10.0}",0.17999999999999997,0.7125,0.6625,0.575,0.575
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.167686567164179), 'Normal Variance': np.float64(1118.6673289763867), 'Normal Steady State Time': 10.0}",0.17999999999999997,0.7125,0.6625,0.575,0.575
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2710.672258656886), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.3810820895522389), 'Stressed Variance': np.float64(177.80399285893293), 'Stressed Steady State Time': 10.0}",0.17999999999999997,0.7375,0.6875,0.5125,0.525
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.969888059701493), 'Normal Variance': np.float64(1066.2355484949321), 'Normal Steady State Time': 10.0}",0.17999999999999997,0.7375,0.6875,0.5125,0.525
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2710.672258656886), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.6261940298507462), 'Stressed Variance': np.float64(286.5907914847404), 'Stressed Steady State Time': 10.0}",0.17999999999999997,0.6625,0.6625,0.5625,0.4625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.201716417910448), 'Normal Variance': np.float64(1273.3444597404766), 'Normal Steady State Time': 10.0}",0.17999999999999997,0.6625,0.6625,0.5625,0.4625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2710.672258656886), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.4600373134328357), 'Stressed Variance': np.float64(197.95825372995097), 'Stressed Steady State Time': 10.0}",0.17999999999999997,0.7625,0.6875,0.5875,0.6125
