hidden_size,num_layers,dropout_rate,learning_rate,batch_size,train_acc,val_acc,test_acc,time
128,4,0.01,0.01,128,0.5,0.5,0.5,21.576975345611572
128,4,0.01,0.001,32,0.541796875,0.5171875,0.52375,37.07209372520447
128,4,0.01,0.001,64,0.794921875,0.7625,0.785,107.36407947540283
128,4,0.01,0.001,128,0.605859375,0.590625,0.5775,41.368449211120605
128,4,0.01,0.0001,32,0.712890625,0.653125,0.6375,107.20952534675598
128,4,0.01,0.0001,64,0.81640625,0.7875,0.7875,104.55207681655884
128,4,0.01,0.0001,128,0.80546875,0.790625,0.79125,98.08351159095764
128,4,0.01,0.0005,32,0.902734375,0.8796875,0.86,106.8347601890564
128,4,0.01,0.0005,64,0.644140625,0.6421875,0.645,32.235849142074585
128,4,0.01,0.0005,128,0.8859375,0.890625,0.89,99.98272156715393
128,4,0.05,0.01,32,0.5015625,0.5,0.5,24.606109619140625
128,4,0.05,0.01,64,0.48515625,0.5,0.5,30.521495819091797
128,4,0.05,0.01,128,0.49921875,0.5,0.5,22.35547709465027
128,4,0.05,0.001,32,0.875,0.8453125,0.85,108.70273542404175
128,4,0.05,0.001,64,0.47890625,0.5,0.5,24.899852514266968
128,4,0.05,0.001,128,0.576953125,0.5796875,0.575,31.46295475959778
128,4,0.05,0.0001,32,0.786328125,0.803125,0.8025,109.35025382041931
128,4,0.05,0.0001,64,0.628125,0.6140625,0.5875,67.40015172958374
128,4,0.05,0.0001,128,0.669921875,0.66875,0.64875,99.63385057449341
128,4,0.05,0.0005,32,0.49609375,0.5,0.5,25.823928833007812
128,4,0.05,0.0005,64,0.75546875,0.7421875,0.78,106.0841977596283
128,4,0.05,0.0005,128,0.7453125,0.728125,0.74875,98.3014726638794
128,4,0.1,0.01,32,0.502734375,0.5,0.5,21.509933710098267
128,4,0.1,0.01,64,0.487109375,0.5,0.5,22.5817551612854
128,4,0.1,0.01,128,0.487109375,0.5,0.5,22.419031858444214
128,4,0.1,0.001,32,0.515234375,0.5,0.5,26.200459003448486
