Parameter Sets,Stats,Variance Ratio,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,Vanilla LSTM Accuracy,IY002A Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 0.434667177130991, 'rho': 310.1342242917877, 'd': 0.7312590268605083, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.110795454545455, 'Stressed Variance': 176.82920163997935, 'Stressed Steady State Time': 13.675044864653078}, {'Normal Mean': 9.611503759398497, 'Normal Variance': 1067.4328300695347, 'Normal Steady State Time': 12.775248871259532})",0.13999999999999999,1.0,0.525,0.9875,0.4875,0.775,0.45,0.9,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.434667177130991, 'rho': 310.1342242917877, 'd': 0.7312590268605083, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.105151515151515, 'Stressed Variance': 174.96803406795223, 'Stressed Steady State Time': 13.675044864653078}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.13999999999999999,1.0,0.625,1.0,0.5875,0.8125,0.45,0.7375,0.475
"[{'sigma_u': 18.0, 'sigma_b': 0.434667177130991, 'rho': 310.1342242917877, 'd': 0.7312590268605083, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.105151515151515, 'Stressed Variance': 174.96803406795223, 'Stressed Steady State Time': 13.675044864653078}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.13999999999999999,1.0,0.625,1.0,0.5875,0.8125,0.45,0.7375,0.475
"[{'sigma_u': 18.0, 'sigma_b': 0.434667177130991, 'rho': 310.1342242917877, 'd': 0.7312590268605083, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.105151515151515, 'Stressed Variance': 174.96803406795223, 'Stressed Steady State Time': 13.675044864653078}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.13999999999999999,1.0,0.625,1.0,0.5875,0.8125,0.45,0.7375,0.475
"[{'sigma_u': 18.0, 'sigma_b': 0.434667177130991, 'rho': 310.1342242917877, 'd': 0.7312590268605083, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.105151515151515, 'Stressed Variance': 174.96803406795223, 'Stressed Steady State Time': 13.675044864653078}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.13999999999999999,1.0,0.625,1.0,0.5875,0.8125,0.45,0.7375,0.475
"[{'sigma_u': 18.0, 'sigma_b': 0.434667177130991, 'rho': 310.1342242917877, 'd': 0.7312590268605083, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.105151515151515, 'Stressed Variance': 174.96803406795223, 'Stressed Steady State Time': 13.675044864653078}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.13999999999999999,1.0,0.625,1.0,0.5875,0.8125,0.45,0.7375,0.475
"[{'sigma_u': 18.0, 'sigma_b': 0.434667177130991, 'rho': 310.1342242917877, 'd': 0.7312590268605083, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.105151515151515, 'Stressed Variance': 174.96803406795223, 'Stressed Steady State Time': 13.675044864653078}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.13999999999999999,1.0,0.625,1.0,0.5875,0.8125,0.45,0.7375,0.475
"[{'sigma_u': 18.0, 'sigma_b': 0.434667177130991, 'rho': 310.1342242917877, 'd': 0.7312590268605083, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.105151515151515, 'Stressed Variance': 174.96803406795223, 'Stressed Steady State Time': 13.675044864653078}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.13999999999999999,1.0,0.625,1.0,0.5875,0.8125,0.45,0.7375,0.475
"[{'sigma_u': 18.0, 'sigma_b': 0.434667177130991, 'rho': 310.1342242917877, 'd': 0.7312590268605083, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.105151515151515, 'Stressed Variance': 174.96803406795223, 'Stressed Steady State Time': 13.675044864653078}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.13999999999999999,1.0,0.625,1.0,0.5875,0.8125,0.45,0.7375,0.475
"[{'sigma_u': 18.0, 'sigma_b': 0.434667177130991, 'rho': 310.1342242917877, 'd': 0.7312590268605083, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.105151515151515, 'Stressed Variance': 174.96803406795223, 'Stressed Steady State Time': 13.675044864653078}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.13999999999999999,1.0,0.625,1.0,0.5875,0.8125,0.45,0.7375,0.475
"[{'sigma_u': 18.0, 'sigma_b': 0.4047410245625614, 'rho': 332.63090567881466, 'd': 0.7314928984010024, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.09689393939394, 'Stressed Variance': 181.5334145948118, 'Stressed Steady State Time': 13.670672704901678}, {'Normal Mean': 9.611503759398497, 'Normal Variance': 1067.4328300695347, 'Normal Steady State Time': 12.775248871259532})",0.14999999999999997,1.0,0.6375,1.0,0.5625,0.7375,0.45,0.775,0.375
"[{'sigma_u': 18.0, 'sigma_b': 0.4047410245625614, 'rho': 332.63090567881466, 'd': 0.7314928984010024, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.119128787878788, 'Stressed Variance': 182.89319469553493, 'Stressed Steady State Time': 13.670672704901678}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.14999999999999997,1.0,0.6375,1.0,0.625,0.7625,0.45,0.925,0.4125
"[{'sigma_u': 18.0, 'sigma_b': 0.4047410245625614, 'rho': 332.63090567881466, 'd': 0.7314928984010024, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.119128787878788, 'Stressed Variance': 182.89319469553493, 'Stressed Steady State Time': 13.670672704901678}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.14999999999999997,1.0,0.6375,1.0,0.625,0.7625,0.45,0.925,0.4125
"[{'sigma_u': 18.0, 'sigma_b': 0.4047410245625614, 'rho': 332.63090567881466, 'd': 0.7314928984010024, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.119128787878788, 'Stressed Variance': 182.89319469553493, 'Stressed Steady State Time': 13.670672704901678}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.14999999999999997,1.0,0.6375,1.0,0.625,0.7625,0.45,0.925,0.4125
"[{'sigma_u': 18.0, 'sigma_b': 0.4047410245625614, 'rho': 332.63090567881466, 'd': 0.7314928984010024, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.119128787878788, 'Stressed Variance': 182.89319469553493, 'Stressed Steady State Time': 13.670672704901678}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.14999999999999997,1.0,0.6375,1.0,0.625,0.7625,0.45,0.925,0.4125
"[{'sigma_u': 18.0, 'sigma_b': 0.4047410245625614, 'rho': 332.63090567881466, 'd': 0.7314928984010024, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.119128787878788, 'Stressed Variance': 182.89319469553493, 'Stressed Steady State Time': 13.670672704901678}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.14999999999999997,1.0,0.6375,1.0,0.625,0.7625,0.45,0.925,0.4125
"[{'sigma_u': 18.0, 'sigma_b': 0.4047410245625614, 'rho': 332.63090567881466, 'd': 0.7314928984010024, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.119128787878788, 'Stressed Variance': 182.89319469553493, 'Stressed Steady State Time': 13.670672704901678}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.14999999999999997,1.0,0.6375,1.0,0.625,0.7625,0.45,0.925,0.4125
"[{'sigma_u': 18.0, 'sigma_b': 0.4047410245625614, 'rho': 332.63090567881466, 'd': 0.7314928984010024, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.119128787878788, 'Stressed Variance': 182.89319469553493, 'Stressed Steady State Time': 13.670672704901678}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.14999999999999997,1.0,0.6375,1.0,0.625,0.7625,0.45,0.925,0.4125
"[{'sigma_u': 18.0, 'sigma_b': 0.4047410245625614, 'rho': 332.63090567881466, 'd': 0.7314928984010024, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.119128787878788, 'Stressed Variance': 182.89319469553493, 'Stressed Steady State Time': 13.670672704901678}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.14999999999999997,1.0,0.6375,1.0,0.625,0.7625,0.45,0.925,0.4125
"[{'sigma_u': 18.0, 'sigma_b': 0.4047410245625614, 'rho': 332.63090567881466, 'd': 0.7314928984010024, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.119128787878788, 'Stressed Variance': 182.89319469553493, 'Stressed Steady State Time': 13.670672704901678}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.14999999999999997,1.0,0.6375,1.0,0.625,0.7625,0.45,0.925,0.4125
"[{'sigma_u': 18.0, 'sigma_b': 0.37867259718260243, 'rho': 355.1257249902083, 'd': 0.7316980042868179, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.252310606060606, 'Stressed Variance': 200.02721057019056, 'Stressed Steady State Time': 13.66684061103453}, {'Normal Mean': 9.611503759398497, 'Normal Variance': 1067.4328300695347, 'Normal Steady State Time': 12.775248871259532})",0.15999999999999998,1.0,0.55,0.9875,0.5375,0.7625,0.45,0.8125,0.3625
"[{'sigma_u': 18.0, 'sigma_b': 0.37867259718260243, 'rho': 355.1257249902083, 'd': 0.7316980042868179, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.27405303030303, 'Stressed Variance': 201.11644796688478, 'Stressed Steady State Time': 13.66684061103453}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.15999999999999998,1.0,0.575,1.0,0.5625,0.8125,0.45,0.8375,0.425
"[{'sigma_u': 18.0, 'sigma_b': 0.37867259718260243, 'rho': 355.1257249902083, 'd': 0.7316980042868179, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.27405303030303, 'Stressed Variance': 201.11644796688478, 'Stressed Steady State Time': 13.66684061103453}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.15999999999999998,1.0,0.575,1.0,0.5625,0.8125,0.45,0.8375,0.425
"[{'sigma_u': 18.0, 'sigma_b': 0.37867259718260243, 'rho': 355.1257249902083, 'd': 0.7316980042868179, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.27405303030303, 'Stressed Variance': 201.11644796688478, 'Stressed Steady State Time': 13.66684061103453}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.15999999999999998,1.0,0.575,1.0,0.5625,0.8125,0.45,0.8375,0.425
"[{'sigma_u': 18.0, 'sigma_b': 0.37867259718260243, 'rho': 355.1257249902083, 'd': 0.7316980042868179, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.27405303030303, 'Stressed Variance': 201.11644796688478, 'Stressed Steady State Time': 13.66684061103453}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.15999999999999998,1.0,0.575,1.0,0.5625,0.8125,0.45,0.8375,0.425
"[{'sigma_u': 18.0, 'sigma_b': 0.37867259718260243, 'rho': 355.1257249902083, 'd': 0.7316980042868179, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.27405303030303, 'Stressed Variance': 201.11644796688478, 'Stressed Steady State Time': 13.66684061103453}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.15999999999999998,1.0,0.575,1.0,0.5625,0.8125,0.45,0.8375,0.425
"[{'sigma_u': 18.0, 'sigma_b': 0.37867259718260243, 'rho': 355.1257249902083, 'd': 0.7316980042868179, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.27405303030303, 'Stressed Variance': 201.11644796688478, 'Stressed Steady State Time': 13.66684061103453}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.15999999999999998,1.0,0.575,1.0,0.5625,0.8125,0.45,0.8375,0.425
"[{'sigma_u': 18.0, 'sigma_b': 0.37867259718260243, 'rho': 355.1257249902083, 'd': 0.7316980042868179, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.27405303030303, 'Stressed Variance': 201.11644796688478, 'Stressed Steady State Time': 13.66684061103453}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.15999999999999998,1.0,0.575,1.0,0.5625,0.8125,0.45,0.8375,0.425
"[{'sigma_u': 18.0, 'sigma_b': 0.37867259718260243, 'rho': 355.1257249902083, 'd': 0.7316980042868179, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.27405303030303, 'Stressed Variance': 201.11644796688478, 'Stressed Steady State Time': 13.66684061103453}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.15999999999999998,1.0,0.575,1.0,0.5625,0.8125,0.45,0.8375,0.425
"[{'sigma_u': 18.0, 'sigma_b': 0.37867259718260243, 'rho': 355.1257249902083, 'd': 0.7316980042868179, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.27405303030303, 'Stressed Variance': 201.11644796688478, 'Stressed Steady State Time': 13.66684061103453}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.15999999999999998,1.0,0.575,1.0,0.5625,0.8125,0.45,0.8375,0.425
"[{'sigma_u': 18.0, 'sigma_b': 0.3557607464251385, 'rho': 377.6190111804415, 'd': 0.7318793437061805, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.055075757575757, 'Stressed Variance': 209.119921206382, 'Stressed Steady State Time': 13.66345434666973}, {'Normal Mean': 9.611503759398497, 'Normal Variance': 1067.4328300695347, 'Normal Steady State Time': 12.775248871259532})",0.16999999999999998,1.0,0.55,0.9875,0.5125,0.8125,0.45,0.6375,0.2625
"[{'sigma_u': 18.0, 'sigma_b': 0.3557607464251385, 'rho': 377.6190111804415, 'd': 0.7318793437061805, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.88469696969697, 'Stressed Variance': 203.7055688475666, 'Stressed Steady State Time': 13.66345434666973}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.16999999999999998,1.0,0.6125,1.0,0.5625,0.8125,0.45,0.925,0.425
"[{'sigma_u': 18.0, 'sigma_b': 0.3557607464251385, 'rho': 377.6190111804415, 'd': 0.7318793437061805, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.88469696969697, 'Stressed Variance': 203.7055688475666, 'Stressed Steady State Time': 13.66345434666973}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.16999999999999998,1.0,0.6125,1.0,0.5625,0.8125,0.45,0.925,0.425
"[{'sigma_u': 18.0, 'sigma_b': 0.3557607464251385, 'rho': 377.6190111804415, 'd': 0.7318793437061805, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.88469696969697, 'Stressed Variance': 203.7055688475666, 'Stressed Steady State Time': 13.66345434666973}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.16999999999999998,1.0,0.6125,1.0,0.5625,0.8125,0.45,0.925,0.425
"[{'sigma_u': 18.0, 'sigma_b': 0.3557607464251385, 'rho': 377.6190111804415, 'd': 0.7318793437061805, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.88469696969697, 'Stressed Variance': 203.7055688475666, 'Stressed Steady State Time': 13.66345434666973}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.16999999999999998,1.0,0.6125,1.0,0.5625,0.8125,0.45,0.925,0.425
"[{'sigma_u': 18.0, 'sigma_b': 0.3557607464251385, 'rho': 377.6190111804415, 'd': 0.7318793437061805, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.88469696969697, 'Stressed Variance': 203.7055688475666, 'Stressed Steady State Time': 13.66345434666973}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.16999999999999998,1.0,0.6125,1.0,0.5625,0.8125,0.45,0.925,0.425
"[{'sigma_u': 18.0, 'sigma_b': 0.3557607464251385, 'rho': 377.6190111804415, 'd': 0.7318793437061805, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.88469696969697, 'Stressed Variance': 203.7055688475666, 'Stressed Steady State Time': 13.66345434666973}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.16999999999999998,1.0,0.6125,1.0,0.5625,0.8125,0.45,0.925,0.425
"[{'sigma_u': 18.0, 'sigma_b': 0.3557607464251385, 'rho': 377.6190111804415, 'd': 0.7318793437061805, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.88469696969697, 'Stressed Variance': 203.7055688475666, 'Stressed Steady State Time': 13.66345434666973}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.16999999999999998,1.0,0.6125,1.0,0.5625,0.8125,0.45,0.925,0.425
"[{'sigma_u': 18.0, 'sigma_b': 0.3557607464251385, 'rho': 377.6190111804415, 'd': 0.7318793437061805, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.88469696969697, 'Stressed Variance': 203.7055688475666, 'Stressed Steady State Time': 13.66345434666973}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.16999999999999998,1.0,0.6125,1.0,0.5625,0.8125,0.45,0.925,0.425
"[{'sigma_u': 18.0, 'sigma_b': 0.3557607464251385, 'rho': 377.6190111804415, 'd': 0.7318793437061805, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.88469696969697, 'Stressed Variance': 203.7055688475666, 'Stressed Steady State Time': 13.66345434666973}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.16999999999999998,1.0,0.6125,1.0,0.5625,0.8125,0.45,0.925,0.425
"[{'sigma_u': 18.0, 'sigma_b': 0.335464605870292, 'rho': 400.11102000085714, 'd': 0.7320408209697388, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.901666666666667, 'Stressed Variance': 213.68858813131314, 'Stressed Steady State Time': 13.660440392863531}, {'Normal Mean': 9.611503759398497, 'Normal Variance': 1067.4328300695347, 'Normal Steady State Time': 12.775248871259532})",0.17999999999999997,0.9875,0.6125,0.975,0.55,0.775,0.45,0.6375,0.3125
"[{'sigma_u': 18.0, 'sigma_b': 0.335464605870292, 'rho': 400.11102000085714, 'd': 0.7320408209697388, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.899128787878787, 'Stressed Variance': 213.9004689379591, 'Stressed Steady State Time': 13.660440392863531}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.17999999999999997,0.9875,0.6,0.975,0.5625,0.8375,0.45,0.8375,0.35
"[{'sigma_u': 18.0, 'sigma_b': 0.335464605870292, 'rho': 400.11102000085714, 'd': 0.7320408209697388, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.899128787878787, 'Stressed Variance': 213.9004689379591, 'Stressed Steady State Time': 13.660440392863531}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.17999999999999997,0.9875,0.6,0.975,0.5625,0.8375,0.45,0.8375,0.35
"[{'sigma_u': 18.0, 'sigma_b': 0.335464605870292, 'rho': 400.11102000085714, 'd': 0.7320408209697388, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.899128787878787, 'Stressed Variance': 213.9004689379591, 'Stressed Steady State Time': 13.660440392863531}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.17999999999999997,0.9875,0.6,0.975,0.5625,0.8375,0.45,0.8375,0.35
