Parameter Sets,Stats,CV Ratio,Normal CV,Stress CV,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,Vanilla LSTM Accuracy,IY001A Accuracy,Vanilla Transformer Accuracy,Full Transformer Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 33.25255156602276, 'rho': 49.927337236091965, 'd': 0.6966183912921848, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.551564885496184, 'Stressed Variance': 62.47489831449217, 'Stressed Steady State Time': 14.355061716717824}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.53,0.32,0.1696,1.0,0.55,0.9875,0.5,0.725,0.45,0.5,1.0,0.525,0.75
"[{'sigma_u': 18.0, 'sigma_b': 33.25255156602276, 'rho': 49.927337236091965, 'd': 0.6966183912921848, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.551564885496184, 'Stressed Variance': 62.47489831449217, 'Stressed Steady State Time': 14.355061716717824}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.53,0.32,0.1696,1.0,0.55,0.9875,0.5,0.725,0.45,0.5,1.0,0.525,0.75
"[{'sigma_u': 18.0, 'sigma_b': 33.25255156602276, 'rho': 49.927337236091965, 'd': 0.6966183912921848, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.551564885496184, 'Stressed Variance': 62.47489831449217, 'Stressed Steady State Time': 14.355061716717824}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.53,0.32,0.1696,1.0,0.55,0.9875,0.5,0.725,0.45,0.5,1.0,0.525,0.75
"[{'sigma_u': 18.0, 'sigma_b': 33.25255156602276, 'rho': 49.927337236091965, 'd': 0.6966183912921848, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.551564885496184, 'Stressed Variance': 62.47489831449217, 'Stressed Steady State Time': 14.355061716717824}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.53,0.32,0.1696,1.0,0.55,0.9875,0.5,0.725,0.45,0.5,1.0,0.525,0.75
"[{'sigma_u': 18.0, 'sigma_b': 33.25255156602276, 'rho': 49.927337236091965, 'd': 0.6966183912921848, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.551564885496184, 'Stressed Variance': 62.47489831449217, 'Stressed Steady State Time': 14.355061716717824}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.53,0.32,0.1696,1.0,0.55,0.9875,0.5,0.725,0.45,0.5,1.0,0.525,0.75
"[{'sigma_u': 18.0, 'sigma_b': 30.520905547236108, 'rho': 51.5410154520073, 'd': 0.6972179108071513, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.560381679389316, 'Stressed Variance': 66.03291893829031, 'Stressed Steady State Time': 14.342718173179538}, {'Normal Mean': 46.44409090909091, 'Normal Variance': 223.54179841597795, 'Normal Steady State Time': 13.610205889568428})",0.54,0.32,0.1728,1.0,0.65,0.9625,0.65,0.8625,0.45,0.5,1.0,0.525,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 30.520905547236108, 'rho': 51.5410154520073, 'd': 0.6972179108071513, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.48931297709924, 'Stressed Variance': 65.50362624555679, 'Stressed Steady State Time': 14.342718173179538}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.54,0.32,0.1728,1.0,0.45,0.9875,0.4875,0.7125,0.45,0.975,1.0,0.525,0.7375
"[{'sigma_u': 18.0, 'sigma_b': 30.520905547236108, 'rho': 51.5410154520073, 'd': 0.6972179108071513, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.48931297709924, 'Stressed Variance': 65.50362624555679, 'Stressed Steady State Time': 14.342718173179538}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.54,0.32,0.1728,1.0,0.45,0.9875,0.4875,0.7125,0.45,0.975,1.0,0.525,0.7375
"[{'sigma_u': 18.0, 'sigma_b': 30.520905547236108, 'rho': 51.5410154520073, 'd': 0.6972179108071513, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.48931297709924, 'Stressed Variance': 65.50362624555679, 'Stressed Steady State Time': 14.342718173179538}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.54,0.32,0.1728,1.0,0.45,0.9875,0.4875,0.7125,0.45,0.975,1.0,0.525,0.7375
"[{'sigma_u': 18.0, 'sigma_b': 30.520905547236108, 'rho': 51.5410154520073, 'd': 0.6972179108071513, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.48931297709924, 'Stressed Variance': 65.50362624555679, 'Stressed Steady State Time': 14.342718173179538}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.54,0.32,0.1728,1.0,0.45,0.9875,0.4875,0.7125,0.45,0.975,1.0,0.525,0.7375
"[{'sigma_u': 18.0, 'sigma_b': 30.520905547236108, 'rho': 51.5410154520073, 'd': 0.6972179108071513, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.48931297709924, 'Stressed Variance': 65.50362624555679, 'Stressed Steady State Time': 14.342718173179538}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.54,0.32,0.1728,1.0,0.45,0.9875,0.4875,0.7125,0.45,0.975,1.0,0.525,0.7375
"[{'sigma_u': 18.0, 'sigma_b': 30.520905547236108, 'rho': 51.5410154520073, 'd': 0.6972179108071513, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.48931297709924, 'Stressed Variance': 65.50362624555679, 'Stressed Steady State Time': 14.342718173179538}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.54,0.32,0.1728,1.0,0.45,0.9875,0.4875,0.7125,0.45,0.975,1.0,0.525,0.7375
"[{'sigma_u': 18.0, 'sigma_b': 30.520905547236108, 'rho': 51.5410154520073, 'd': 0.6972179108071513, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.48931297709924, 'Stressed Variance': 65.50362624555679, 'Stressed Steady State Time': 14.342718173179538}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.54,0.32,0.1728,1.0,0.45,0.9875,0.4875,0.7125,0.45,0.975,1.0,0.525,0.7375
"[{'sigma_u': 18.0, 'sigma_b': 30.520905547236108, 'rho': 51.5410154520073, 'd': 0.6972179108071513, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.48931297709924, 'Stressed Variance': 65.50362624555679, 'Stressed Steady State Time': 14.342718173179538}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.54,0.32,0.1728,1.0,0.45,0.9875,0.4875,0.7125,0.45,0.975,1.0,0.525,0.7375
"[{'sigma_u': 18.0, 'sigma_b': 30.520905547236108, 'rho': 51.5410154520073, 'd': 0.6972179108071513, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.48931297709924, 'Stressed Variance': 65.50362624555679, 'Stressed Steady State Time': 14.342718173179538}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.54,0.32,0.1728,1.0,0.45,0.9875,0.4875,0.7125,0.45,0.975,1.0,0.525,0.7375
"[{'sigma_u': 18.0, 'sigma_b': 28.250138209211016, 'rho': 53.1237556137087, 'd': 0.6978199144809621, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.51687022900764, 'Stressed Variance': 67.8356695938465, 'Stressed Steady State Time': 14.330344824621395}, {'Normal Mean': 46.44409090909091, 'Normal Variance': 223.54179841597795, 'Normal Steady State Time': 13.610205889568428})",0.55,0.32,0.17600000000000002,1.0,0.5375,0.95,0.5875,0.75,0.45,0.5,1.0,0.475,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 28.250138209211016, 'rho': 53.1237556137087, 'd': 0.6978199144809621, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.469503816793896, 'Stressed Variance': 68.3265508988404, 'Stressed Steady State Time': 14.330344824621395}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.55,0.32,0.17600000000000002,1.0,0.5875,0.9625,0.6125,0.75,0.45,0.5,1.0,0.5125,0.925
"[{'sigma_u': 18.0, 'sigma_b': 28.250138209211016, 'rho': 53.1237556137087, 'd': 0.6978199144809621, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.469503816793896, 'Stressed Variance': 68.3265508988404, 'Stressed Steady State Time': 14.330344824621395}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.55,0.32,0.17600000000000002,1.0,0.5875,0.9625,0.6125,0.75,0.45,0.5,1.0,0.5125,0.925
"[{'sigma_u': 18.0, 'sigma_b': 28.250138209211016, 'rho': 53.1237556137087, 'd': 0.6978199144809621, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.469503816793896, 'Stressed Variance': 68.3265508988404, 'Stressed Steady State Time': 14.330344824621395}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.55,0.32,0.17600000000000002,1.0,0.5875,0.9625,0.6125,0.75,0.45,0.5,1.0,0.5125,0.925
"[{'sigma_u': 18.0, 'sigma_b': 28.250138209211016, 'rho': 53.1237556137087, 'd': 0.6978199144809621, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.469503816793896, 'Stressed Variance': 68.3265508988404, 'Stressed Steady State Time': 14.330344824621395}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.55,0.32,0.17600000000000002,1.0,0.5875,0.9625,0.6125,0.75,0.45,0.5,1.0,0.5125,0.925
"[{'sigma_u': 18.0, 'sigma_b': 28.250138209211016, 'rho': 53.1237556137087, 'd': 0.6978199144809621, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.469503816793896, 'Stressed Variance': 68.3265508988404, 'Stressed Steady State Time': 14.330344824621395}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.55,0.32,0.17600000000000002,1.0,0.5875,0.9625,0.6125,0.75,0.45,0.5,1.0,0.5125,0.925
"[{'sigma_u': 18.0, 'sigma_b': 28.250138209211016, 'rho': 53.1237556137087, 'd': 0.6978199144809621, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.469503816793896, 'Stressed Variance': 68.3265508988404, 'Stressed Steady State Time': 14.330344824621395}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.55,0.32,0.17600000000000002,1.0,0.5875,0.9625,0.6125,0.75,0.45,0.5,1.0,0.5125,0.925
"[{'sigma_u': 18.0, 'sigma_b': 28.250138209211016, 'rho': 53.1237556137087, 'd': 0.6978199144809621, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.469503816793896, 'Stressed Variance': 68.3265508988404, 'Stressed Steady State Time': 14.330344824621395}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.55,0.32,0.17600000000000002,1.0,0.5875,0.9625,0.6125,0.75,0.45,0.5,1.0,0.5125,0.925
"[{'sigma_u': 18.0, 'sigma_b': 28.250138209211016, 'rho': 53.1237556137087, 'd': 0.6978199144809621, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.469503816793896, 'Stressed Variance': 68.3265508988404, 'Stressed Steady State Time': 14.330344824621395}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.55,0.32,0.17600000000000002,1.0,0.5875,0.9625,0.6125,0.75,0.45,0.5,1.0,0.5125,0.925
"[{'sigma_u': 18.0, 'sigma_b': 28.250138209211016, 'rho': 53.1237556137087, 'd': 0.6978199144809621, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.469503816793896, 'Stressed Variance': 68.3265508988404, 'Stressed Steady State Time': 14.330344824621395}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.55,0.32,0.17600000000000002,1.0,0.5875,0.9625,0.6125,0.75,0.45,0.5,1.0,0.5125,0.925
"[{'sigma_u': 18.0, 'sigma_b': 26.324226797162364, 'rho': 54.683463784909144, 'd': 0.6984213689076815, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.625229007633585, 'Stressed Variance': 70.29691311549443, 'Stressed Steady State Time': 14.318004066284256}, {'Normal Mean': 46.44409090909091, 'Normal Variance': 223.54179841597795, 'Normal Steady State Time': 13.610205889568428})",0.56,0.32,0.17920000000000003,1.0,0.55,0.9875,0.575,0.7125,0.45,0.5,1.0,0.5375,0.7
"[{'sigma_u': 18.0, 'sigma_b': 26.324226797162364, 'rho': 54.683463784909144, 'd': 0.6984213689076815, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.59690839694657, 'Stressed Variance': 70.7196927320669, 'Stressed Steady State Time': 14.318004066284256}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.56,0.32,0.17920000000000003,1.0,0.5,1.0,0.4625,0.7125,0.45,0.5,1.0,0.4875,0.725
"[{'sigma_u': 18.0, 'sigma_b': 26.324226797162364, 'rho': 54.683463784909144, 'd': 0.6984213689076815, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.59690839694657, 'Stressed Variance': 70.7196927320669, 'Stressed Steady State Time': 14.318004066284256}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.56,0.32,0.17920000000000003,1.0,0.5,1.0,0.4625,0.7125,0.45,0.5,1.0,0.4875,0.725
"[{'sigma_u': 18.0, 'sigma_b': 26.324226797162364, 'rho': 54.683463784909144, 'd': 0.6984213689076815, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.59690839694657, 'Stressed Variance': 70.7196927320669, 'Stressed Steady State Time': 14.318004066284256}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.56,0.32,0.17920000000000003,1.0,0.5,1.0,0.4625,0.7125,0.45,0.5,1.0,0.4875,0.725
"[{'sigma_u': 18.0, 'sigma_b': 26.324226797162364, 'rho': 54.683463784909144, 'd': 0.6984213689076815, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.59690839694657, 'Stressed Variance': 70.7196927320669, 'Stressed Steady State Time': 14.318004066284256}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.56,0.32,0.17920000000000003,1.0,0.5,1.0,0.4625,0.7125,0.45,0.5,1.0,0.4875,0.725
"[{'sigma_u': 18.0, 'sigma_b': 26.324226797162364, 'rho': 54.683463784909144, 'd': 0.6984213689076815, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.59690839694657, 'Stressed Variance': 70.7196927320669, 'Stressed Steady State Time': 14.318004066284256}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.56,0.32,0.17920000000000003,1.0,0.5,1.0,0.4625,0.7125,0.45,0.5,1.0,0.4875,0.725
"[{'sigma_u': 18.0, 'sigma_b': 26.324226797162364, 'rho': 54.683463784909144, 'd': 0.6984213689076815, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.59690839694657, 'Stressed Variance': 70.7196927320669, 'Stressed Steady State Time': 14.318004066284256}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.56,0.32,0.17920000000000003,1.0,0.5,1.0,0.4625,0.7125,0.45,0.5,1.0,0.4875,0.725
"[{'sigma_u': 18.0, 'sigma_b': 26.324226797162364, 'rho': 54.683463784909144, 'd': 0.6984213689076815, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.59690839694657, 'Stressed Variance': 70.7196927320669, 'Stressed Steady State Time': 14.318004066284256}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.56,0.32,0.17920000000000003,1.0,0.5,1.0,0.4625,0.7125,0.45,0.5,1.0,0.4875,0.725
"[{'sigma_u': 18.0, 'sigma_b': 26.324226797162364, 'rho': 54.683463784909144, 'd': 0.6984213689076815, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.59690839694657, 'Stressed Variance': 70.7196927320669, 'Stressed Steady State Time': 14.318004066284256}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.56,0.32,0.17920000000000003,1.0,0.5,1.0,0.4625,0.7125,0.45,0.5,1.0,0.4875,0.725
"[{'sigma_u': 18.0, 'sigma_b': 26.324226797162364, 'rho': 54.683463784909144, 'd': 0.6984213689076815, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.59690839694657, 'Stressed Variance': 70.7196927320669, 'Stressed Steady State Time': 14.318004066284256}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.56,0.32,0.17920000000000003,1.0,0.5,1.0,0.4625,0.7125,0.45,0.5,1.0,0.4875,0.725
"[{'sigma_u': 18.0, 'sigma_b': 24.664356979526165, 'rho': 56.22609558623023, 'd': 0.6990199436268755, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.60171755725191, 'Stressed Variance': 74.42545506526426, 'Stressed Steady State Time': 14.305743478669363}, {'Normal Mean': 46.44409090909091, 'Normal Variance': 223.54179841597795, 'Normal Steady State Time': 13.610205889568428})",0.5700000000000001,0.32,0.18240000000000003,1.0,0.625,0.9625,0.6125,0.7125,0.45,0.5,1.0,0.5,0.675
"[{'sigma_u': 18.0, 'sigma_b': 24.664356979526165, 'rho': 56.22609558623023, 'd': 0.6990199436268755, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.60572519083969, 'Stressed Variance': 74.09889851989978, 'Stressed Steady State Time': 14.305743478669363}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.5700000000000001,0.32,0.18240000000000003,1.0,0.5875,0.9625,0.6,0.75,0.45,0.7375,1.0,0.4625,0.75
"[{'sigma_u': 18.0, 'sigma_b': 24.664356979526165, 'rho': 56.22609558623023, 'd': 0.6990199436268755, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.60572519083969, 'Stressed Variance': 74.09889851989978, 'Stressed Steady State Time': 14.305743478669363}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.5700000000000001,0.32,0.18240000000000003,1.0,0.5875,0.9625,0.6,0.75,0.45,0.7375,1.0,0.4625,0.75
"[{'sigma_u': 18.0, 'sigma_b': 24.664356979526165, 'rho': 56.22609558623023, 'd': 0.6990199436268755, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.60572519083969, 'Stressed Variance': 74.09889851989978, 'Stressed Steady State Time': 14.305743478669363}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.5700000000000001,0.32,0.18240000000000003,1.0,0.5875,0.9625,0.6,0.75,0.45,0.7375,1.0,0.4625,0.75
"[{'sigma_u': 18.0, 'sigma_b': 24.664356979526165, 'rho': 56.22609558623023, 'd': 0.6990199436268755, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.60572519083969, 'Stressed Variance': 74.09889851989978, 'Stressed Steady State Time': 14.305743478669363}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.5700000000000001,0.32,0.18240000000000003,1.0,0.5875,0.9625,0.6,0.75,0.45,0.7375,1.0,0.4625,0.75
"[{'sigma_u': 18.0, 'sigma_b': 24.664356979526165, 'rho': 56.22609558623023, 'd': 0.6990199436268755, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.60572519083969, 'Stressed Variance': 74.09889851989978, 'Stressed Steady State Time': 14.305743478669363}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.5700000000000001,0.32,0.18240000000000003,1.0,0.5875,0.9625,0.6,0.75,0.45,0.7375,1.0,0.4625,0.75
"[{'sigma_u': 18.0, 'sigma_b': 24.664356979526165, 'rho': 56.22609558623023, 'd': 0.6990199436268755, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.60572519083969, 'Stressed Variance': 74.09889851989978, 'Stressed Steady State Time': 14.305743478669363}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.5700000000000001,0.32,0.18240000000000003,1.0,0.5875,0.9625,0.6,0.75,0.45,0.7375,1.0,0.4625,0.75
"[{'sigma_u': 18.0, 'sigma_b': 24.664356979526165, 'rho': 56.22609558623023, 'd': 0.6990199436268755, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.60572519083969, 'Stressed Variance': 74.09889851989978, 'Stressed Steady State Time': 14.305743478669363}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.5700000000000001,0.32,0.18240000000000003,1.0,0.5875,0.9625,0.6,0.75,0.45,0.7375,1.0,0.4625,0.75
"[{'sigma_u': 18.0, 'sigma_b': 24.664356979526165, 'rho': 56.22609558623023, 'd': 0.6990199436268755, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.60572519083969, 'Stressed Variance': 74.09889851989978, 'Stressed Steady State Time': 14.305743478669363}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.5700000000000001,0.32,0.18240000000000003,1.0,0.5875,0.9625,0.6,0.75,0.45,0.7375,1.0,0.4625,0.75
